location,lat,lon
Itbayat,20.7839,121.8383
Calayan,19.2619,121.4771
Basco Radar Site,20.4275,121.9706
Basco,20.4634,122.0042
Sinait,17.8535,120.5049
Vigan,17.5705,120.3873
Laoag,18.196,120.5927
Aparri Radar Site,18.3667,121.6167
Aparri,18.3551,121.642
Tuguegarao,17.6132,121.727
Iba,15.333,119.9758
Dagupan,16.0433,120.3333
Basa Ab,14.9857,120.4962
Clark Ab,15.1917,120.5376
Baguio,16.4023,120.596
Munoz,15.7295,120.8729
Cabanatuan,15.4865,120.9734
Baler,15.7336,121.5713
Baler Radar Site,15.7492,121.6319
Casiguran,16.2278,122.0633
Manila,14.5995,120.9842
Subic Bay,14.48,120.16
Tayabas,14.0364,121.6533
